 recapture[動],取り戻す、奪い返す
 recitation[名],朗読
 red blood cell[名],赤血球
 red tape[名],お役所仕事、形式主義的な手続き
 refract[動],屈折させる
 refrigerant[形],冷凍材
 refurbish[動],一新する、改装する
 refute[動],（間違いを）証明する
 reincarnate[動],生まれ変わる
 relativity[名],相対論、相対性
 relentlessly[副],容赦なく
 remorse[名],深い悔恨、自責の念
 renovate[動],改装する
 repertoire[名],レパートリー、上演目録、演奏曲目
 residue[名],残り、残留物
 respiratory[形],呼吸の、呼吸器に関する
 resurgence[名],再燃
 retard[動],遅らせる、阻害する
 retina[名],網膜
 retract[動],取り消す、引っ込める
 rhinoceros[名],サイ
 riverbed[名],川底
 romanticism[名],ロマン主義
 ruby[名],ルビー
 ruling political party[名],与党
 safekeeping[名],保管
 saliva[名],唾液、つば
 sanctuary[名],自然（鳥獣）保護区、聖域
 sanitation[名],（公衆）衛生、衛生設備
 scavenger[名],（ハゲタカなどの）腐肉を食べる動物、清掃動物
 scrutinize[動],綿密に調べる
 seclusion[名],隔離、孤立、引きこもること
 second-rate[形],二流の
 secondary school[名],中等学校（日本の中高等学校）
 secrete[動],分泌する
 sedimentary rock[名],堆積岩
 seep[動],（水などが）漏れる
 seismology[名],地震学
 self-made[形],（人が）自らの努力で成功（出世）した
 sensory nerve[名],知覚神経
 sentinel[名],番人
 sewage[名],下水、汚水
 sheriff[名],郡保安官、群警察長官
 shoddy[形],粗雑な、安物の、見掛け倒しの
 shrewd[形],賢い、抜け目のない
 shuffle[動],混ぜる、移し替える、トランプを切る
 siege[名],（軍隊、警察による）包囲、包囲攻撃
 silicon[名],珪素
 skepticism[名],疑い
 skyrocket[動],急上昇する、急増する
 slimy[形],ねばねばした
 smolder[動],くすぶる、いぶる、鬱積する
 smother[動],窒息させる、（事実などを）もみ消す、（火などを）覆って消す
 soap opera[名],（主婦を主なターゲットにした）連続メロドラマ
 sonata[名],ソナタ
 soot[名],すす
 spawn[動],（魚、カエルなどが卵を）産む、（考えなどを）生み出す
 spawn[名],（魚やカエルなどの）卵
 spin[動],（クモが）巣を作る、（糸を）つむぐ
 spirituality[名],霊性
 sporadic[形],散発的な、時々起こる
 sprout[名],芽
 squall[名],スコール、突風
 square[動],２乗する
 square[名],２乗
 stamen[名],雄しべ
 starch[名],でんぷん（質）、（洗濯用）のり
 starchy[形],でんぷん状の
 steamship[名],蒸気船
 stigma[名],(花の雌しべの)柱頭
 stingy[形],けちな
 submissive[形],従順な
 sulfur[名],硫黄
 sullen[形],憂うつな、不機嫌な
 Supreme Court[名],最高裁判所
 symbiosis[名],共生
 symbolism[名],象徴的表現、象徴的意味
 symmetry[名],（左右）対称
 synonym[名],同義語
 synthesis[名],合成、統合
 taboo[名],禁忌、タブー
 tantalize[動],じらす
 Taoism[名],道教
 tapestries[名],綴れ織り
 taxonomist[名],(生物)分類学者
 taxonomy[名],分類学、分類（法）
 Temperate Zone[名],温帯
 tentacle[名],触手
 thatch[名],わらぶき屋根、（わらなどの）屋根ふき材
 thaw[動],溶ける、和らぐ、解かす
 thorax[名],胸部
 three-dimensional[形],３次元の、立体の
 timid[形],臆病な
 title role[名],主役
 topography[名],地形（学）
 toxin[名],毒素
 transistor[名],トランジスター
 tributary[名],支流
 tuberculosis[名],結核
 ultrasonic[形],超音波の
 unconsolidated[形],凝固していない
 unconventional[形],慣例に従わない、型にはまらない、奇妙な
 underprivileged[形],恵まれない
 uninhabited[形],人の住まない
 upheaval[名],大変動、激変
 uranium[名],ウラニウム
 usher[動],案内する
 validate[動],妥当性を立証する、法的に有効にする
 validity[名],妥当性、効力
 vassal[名],家臣
 vegetation[名],植物、植生
 venom[名],毒、悪意
 Venus[名],金星
 verify[動],証明する、確認する、検証する
 versatile[形],多才な、多用途の、融通が利く
 vertebrate[名],脊椎動物
 vice versa[副],（and vice versaで）逆もまた同じ
 wince[動],たじろぐ
 wired[形],ネットに繋がった、有線の
 woe[名],苦悩、苦痛
 yeast[名],イースト、酵母（菌）
 zoology[名],動物学
