 theorist[名],理論家
 thermometer[名],温度計、体温計
 thriving[形],（事業などが）繁栄している、繁盛している
 tilt[動],傾かせる、傾く
 toll[名],（通行）料金
 torture[名],拷問
 trainee[名],研修生、訓練を受ける人
 tranquil[形],のどかな、静かな、穏やかな
 transaction[名],（商）取引
 transplant[動],移植する
 tread[動],足を踏む
 Treasury[名],（the を前に置いて）財務省
 triangular[形],三角形の
 tribal[形],部族の、種族の
 tribute[名],賛辞、貢ぎ物
 trim[形],こぎれいな
 tuna[名],マグロ、ツナ
 unanimous[形],満場一致の
 undergraduate[名],学部学生
 unemployed[形],失業中の
 unequal[形],不釣り合いの
 uniformity[名],均一なこと、画一性
 uphold[動],維持する、守る
 usage[名],使用（法）、利用（法）、語法
 utility[名],効用、有用性
 vending machine[名],自動販売機
 veto[動],拒否権を発動する
 veto[名],拒否権
 volcanic[形],火山の
 vow[動],誓う、公約する、断言する
 warp[動],しなる、たわむ
 weary[形],疲れ果てた、うんざりした
 wedge[名],くさび
 wholesale[名],卸売り
 withhold[動],保留する、知らせずにおく、（税金などを）差し引く、差し控える、抑える
 woodcut[名],木版画
 wrinkle[動],しわを付ける、しわを寄せる
 wrinkle[名],しわ
