 spectacle[名],壮観な光景、見世物
 sphere[名],領域、範囲
 spiral[形],らせんの、渦巻状の
 squash[名],ウリ（カボチャ）の類
 stalk[動],(獲物などに)忍び寄る
 static[形],静的な
 stationary[形],静止した、動かない
 stature[名],身長、名声
 stinging[形],棘を持つ、刺す
 stoop[動],かがむ
 stray[形],宿なしの、はぐれた
 stride[動],大股に歩く
 stung[動],stingの過去分詞
 subconscious[形],潜在意識の
 submit[動],服従する、屈服する
 subsidize[動],補助金を支給する
 substantially[副],かなり、相当、十分に
 summarize[動],要約する
 superintendent[名],管理者、最高責任者
 supplement[動],補う、補足する
 surge[動],殺到する、(波が)押し寄せる
 swamp[名],沼地、低湿地
 swear[動],ののしる、悪態をつく
 tactics[名],戦術、戦法
 tan[動],日焼けする
 tariff[名],関税
 tasteless[形],味のない、無味乾燥な
 technologically[副],技術的に
 technologist[名],技術者
 tedious[形],冗長な、（長くて）退屈な
 temper[名],（かっとなる）気質、気性
 temperate[形],温暖な、穏やかな、節度のある
 tentative[形],仮の、暫定的な、不確かな
 territorial[形],領土の、縄張りを守る
 testimony[名],証言
 textile industry[名],織物工業
 textile[名],織物、布地
 theoretical[形],理論（上）の、理論的な
 thorn[名],（バラなどの）とげ
 thrust[動],押し付ける、突っ込む、突き刺す
 timpani[名],ティンパニー
 tolerance[名],容認、寛容、耐性
 tolerate[動],大目に見る、我慢する、耐える、寛大に取り扱う
 tolerate[動],容認する、大目に見る
 tomb[名],墓、墓石
 tongue[名],言葉、言語
 tornado[名],竜巻
 tow[動],けん引する
 transplant[名],移植
 trench[名],溝、堀
 trim[動],手入れする、刈り込む
 troublesome[形],手のかかる、面倒な
 tumor[名],腫瘍
 unaffected[形],影響を受けない、変わらない、無感動な
 undermine[動],徐々にむしばむ、弱体化させる
 unquestionable[形],疑問の余地のない
 upside-down[形],逆さまの
 utmost[形],最大限の、最高の
 utterance[名],口に出すこと、発言、発声
 utterly[副],全く、完全に
 vaccine[名],ワクチン
 value[動],大切にする、評価する
 vanity[名],うぬぼれ
 vapor[名],蒸気
 variable[形],変わりやすい、移り気な
 vein[名],血管、静脈
 velocity[名],速度
 vertical[形],垂直の
 vicious[形],悪い、悪徳の、凶暴な
 Vienna[名],（オーストリアの首都）ウィーン
 virtually[副],事実上、実際上、ほとんど
 volatile[形],揮発性の、変動しやすい、気まぐれな
 vulgar[形],下品な、低俗な
 wary[形],用心深い、注意深い
 wasp[名],スズメバチ、ジガバチ
 waterproof[形],防水の、水を通さない
 waterway[名],航路、運河
 weather[動],風化させる、風雨にさらす
 weed[名],雑草
 weird[形],異様な、気味の悪い
 Western[名],西部劇
 westward[形],西向きの、西方へ
 wholesome[形],健康に良い、健康的な
 winery[名],ワイン醸造所
 witch[名],魔女
 wither[動],しおれる、弱まる
 worshiper[名],礼拝者
