möchten ,〜したい、欲しい
mögen ,好む、気に入る
möglich,可能、偶然
der Moment ,時、瞬間
morgen,明日、午前中
müde ,疲れた、眠い
der Mund ,口
müssen,〜しなければならない
"die Mutter, -ü ",母
nach,後、〜へ
nächst- ,次の、今度の
"der Name, -n ",名前
nehmen ,取る、運ぶ
nein ,いいえ
neu ,新しい
nicht ,ない、いいえ
nichts ,なんでもない、何もない
nie ,決して
noch ,もっと、まだ、さらに
normal ,普通、通常
"die Nummer, -n ",数字
nur ,だけ、しか
nach,後、〜へ
oben ,上、階上
das Obst,フルーツ
oder ,または
öffnen,開ける
geöffnet,開く、営業中
oft ,しばしば、何度も
ohne ,無し
das Öl ,油
"die Oma, -s ",祖母
"der Opa, -s ",祖父
die Ordnung ,順序、整理、手順
"der Ort, -e ",場所、エリア
das Papier,紙
die Papiere ,書類
"der Partner, -/die Partnerin, -nen ",パートナー
die Party ,パーティー
"der Pass, -ä, e ",パスポート
"die Pause, -n",休憩
"der Plan, -ä, e",地図
"der Platz, -ä, e",場所、席、位置
die Polizei ,警察
die Pommes frites ,フレンチフライ
die Post ,郵便局、郵便、メール
die Postleitzahl ,郵便番号
das Praktikum,インターンシップ
die Praxis,実習、実践、実地
"der Preis, -e ",価格
"das Problem, -e ",問題
"der Prospekt, -e ",パンフレット、眺め
die Prüfung,試験
pünktlich,時間通りに
Rad fahren,サイクリング
rauchen ,タバコを吸う
"der Raum, -ä, e",部屋
"die Rechnung, -en ",領収書
rechts ,右
regnen,雨が降る
der Regen ,雨
der Reis ,米
reisen,旅行する
die Reise,旅行
"das Reisebüro, -s ",旅行代理店
der Reiseführer,旅行ガイドブック、添乗員
reparieren,修理する
die Reparatur ,修理
"das Restaurant, -s ",レストラン
die Rezeption ,受付、フロント
richtig,正しい
riechen,匂う
ruhig,静かな、ゆっくり
der Saft ,ジュース
sagen,言う、話す
der Salat,サラダ
das Salz ,塩
"Satz, -ä, e ",文、文章
die S-Bahn ,Sバーン、電車
der Schalter,窓口、カウンター
scheinen,輝く、照らす
schicken,送る
"das Schild, -er ",看板、サイン、標識
"der Schinken, – ",ハム
schlafen,寝る
schlecht ,悪い、よくない
schließen ,閉じる、閉める
geschlossen ,閉める、休み中
der Schluss,終わり、最後、結論
"der Schlüssel, – ",鍵
schmecken ,味わう、味がする
schnell ,早い、急いで
schon ,すでに、もう
schön,美しい、素敵
"der Schrank, -ä, e ",キャビネット、棚、食器棚
schreiben,書く
"der Schuh, -e ",靴
die Schule ,学校
"der Schüler, – ",生徒、学生
schwer,重い、難しい、辛い
"die Schwester, -n ",姉妹
schwimmen,泳ぐ
das Schwimmbad ,プール
der See,湖
sehen,見る
"die Sehenswürdigkeit, -en",観光名所、見所、観光スポット
sehr ,とても、非常に
sein ,ある、いる、存在する
an sein ,ある、いる、存在する
auf sein ,開いている
weg sein ,離れている
zu sein ,閉まっている
seit ,〜から、以来
selbstständig ,単独で
sich ,お互い、自身
sie ,彼女、彼ら
Sie ,あなた
sitzen,座る
so ,このように、あんなに、こんなに
das Sofa ,ソファー
sofort ,すぐに、直ちに
"der Sohn, -ö, e ",息子
sollen ,〜すべき
die Sonne ,太陽
spät ,遅い
später ,あとで、その後
die Speisekarte ,メニュー
spielen ,遊ぶ
der Sport ,スポーツ
"die Sprache, -n ",言葉、言語
sprechen,話す
"die Stadt, -ä, e ",都市、街
stehen ,立つ
"die Stelle, -n ",場所、職業、仕事
stellen ,置く、掛ける
der Stock,階
"die Straße, -n ",道、通り
die Straßenbahn,路面電車
studieren ,勉強する、学ぶ
das Studium ,勉強、研究
"der Student, -en ",学生
"die Stunde, -n ",時間、1時間
suchen,探す
tanzen,踊る、ダンスする
"die Tasche, -n",ポケット、バック
"das Taxi, -s ",タクシー
der Tee,お茶
"der Teil, -e ",部分、一部
telefonieren ,電話をする
das Telefon,電話
"der Termin, -e ",予約
der Test ,テスト
teuer ,高い
"der Text, -e ",テキスト
das Thema,テーマ
"das Ticket, -s ",チケット
"der Tisch, -e ",テーブル、机
"die Tochter, -ö ",娘
"die Toilette, -en ",トイレ
"die Tomate, -n ",トマト
tot ,死ぬ
(sich) treffen,会う
"die Treppe, -n ",階段
trinken,飲む
tschüss,じゃあね
tun ,する、やる
über ,〜で、〜について、以上
übernachten ,泊まる
überweisen ,送る、送金する
die Uhr,〜時、時計
um,〜に、周辺
umziehen ,引っ越す
und ,〜と
unser- ,私たちの
unten ,階下、下
unter,下
der Unterricht,授業、レッスン
unterschreiben,署名する
die Unterschrift,署名、サイン
der Urlaub,休暇
"der Vater, -ä ",父
verboten ,禁じられた、禁止
verdienen,稼ぐ、儲ける
der Verein,クラブ、協会、会
verheiratet ,既婚
verkaufen,売る
"der Verkäufer, – ",店員、販売員
vermieten ,貸す
der Vermieter,大家
verstehen, 分かる、理解する
"der Verwandte, -n ",身内、親戚
viel ,たくさん、多い
vielleicht,多分、おそらく
von,〜から、〜の 、〜によって
vor ,前、以前
"der Vorname, -n ",名前（ファーストネーム）
die Vorsicht ,注意、警戒、用心
(sich) vorstellen,紹介する、引き会わせる
die Vorwahl, 局番、コード
wandern,歩く、ハイキング
wann,いつ
warten,待つ
warum,なぜ
was,何
was für ein ,どんな、なんの
(sich) waschen,洗う
das Wasser,水
weh tun ,痛い、痛む、傷つける
weiblich,女性
der Wein,ワイン
weit ,広い、遠い
weiter,もっと、さらに、続ける
welch-,どの〜
die Welt ,世界
wenig ,少ない、少し
wer,誰
werden ,なる
das Wetter,天気
wichtig,重要、大切
wie,どのように
wiederholen,繰り返す、言い返す
das Wiederhören,さようなら、別れ
das Wiedersehen,再会
wie viel ,いくら
willkommen ,歓迎
der Wind,風
wir,私たち
wissen,知る
wo,どこ
woher,どこから
wohin,どこへ、どこに
wohnen,住む
"die Wohnung, -en",住まい、住居
wollen ,欲しい、望む
"das Wort, -ö, er/-e ",言葉
wunderbar,素晴らしい
zahlen,払う
die Zeit ,時間
zurzeit,現在
"die Zeitung, -en ",新聞
"die Zigarette, -n ",タバコ
"das Zimmer, –",部屋
der Zoll,税関、関税
zu ,〜に、〜へ
zufrieden ,満足する、嬉しい
"der Zug, -ü, e ",電車
zurück,以前の、戻る、後ろ
zusammen,一緒に
zwischen,間、中、〜の間に
